Thread  	Address                 	Instruction                     	Result                                  	
000022D8	[vdso]:F7F39549         	Memory layout changed: 40 segments	Memory layout changed: 40 segments      	
000022D8	                        	                                	EAX=FFFFFE00 EBX=00000000 ECX=099F51A0 EDX=00000400 ESI=F7F22000 EDI=F7F20A60 EBP=FF9AAC98 ESP=FF9AAC20 EFL=00000246 CS=0023 DS=002B ES=002B FS=0000 GS=0063 SS=002B ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF YMM0= YMM1= YMM2= YMM3=	
000022D8	[vdso]:F7F39549         	pop     ebp                     	EAX=00000004 ESP=FF9AAC24               	
000022D8	[vdso]:F7F3954A         	pop     edx                     	ESP=FF9AAC28                            	
000022D8	[vdso]:F7F3954B         	pop     ecx                     	ESP=FF9AAC2C                            	
000022D8	[vdso]:F7F3954C         	retn                            	ESP=FF9AAC30                            	
000022D8	libc.so.6:read+37       	cmp     eax, 0FFFFF000h         	CF=1 PF=0 ZF=0                          	
000022D8	libc.so.6:read+3C       	ja      short loc_F7E02240      	                                        	
000022D8	libc.so.6:loc_F7E021EE  	add     esp, 10h                	ESP=FF9AAC40 CF=0 SF=1                  	
000022D8	libc.so.6:read+41       	pop     ebx                     	EBX=F7F203A0 ESP=FF9AAC44               	
000022D8	libc.so.6:read+42       	pop     esi                     	ESI=F7F22620 ESP=FF9AAC48               	
000022D8	libc.so.6:read+43       	pop     edi                     	ESP=FF9AAC4C                            	
000022D8	libc.so.6:read+44       	retn                            	ESP=FF9AAC50                            	
000022D8	libc.so.6:_IO_file_underflow+176	add     esp, 10h                	ESP=FF9AAC60 PF=1                       	
